tree_id,point_count,crown_x,crown_y,height_max_m,height_mean_m,height_std_m,height_p25_m,height_p50_m,height_p75_m,height_p90_m,height_p95_m,cv_height,crown_radius_m,crown_r95_m,crown_area_m2,canopy_pts,density_pt_m2,tile,tile_tree_id
1,3418,188116.9279,480016.5144,17.846,11.22,3.045,9.739,12.005,13.128,14.033,15.232,0.2714,4.619,9.236,267.998,289,12.7538,1,1
2,5227,188137.723,480015.6125,25.013,13.406,4.531,10.952,12.57,14.898,21.203,23.661,0.338,4.744,9.483,282.487,586,18.5035,1,2
3,4014,188313.5669,480013.9286,18.624,11.453,4.414,7.832,12.262,14.962,16.615,17.555,0.3854,6.174,9.976,312.648,1033,12.8387,1,3
4,2404,188687.4169,480015.4665,19.593,14.184,4.305,12.562,15.609,17.37,18.268,18.895,0.3035,4.679,8.231,212.853,1190,11.2942,1,4
5,3245,188708.0357,480015.8305,18.497,12.525,4.187,9.175,13.97,15.933,16.903,17.451,0.3343,6.003,10.847,369.657,1318,8.7784,1,5
6,3705,188769.1837,480012.7365,15.48,9.755,3.157,7.826,10.152,12.067,13.707,14.54,0.3236,5.74,8.801,243.343,736,15.2254,1,6
7,1016,188972.5064,480016.5831,23.238,18.007,3.344,16.696,18.421,19.989,21.768,22.141,0.1857,2.745,5.597,98.407,467,10.3245,1,7
8,3687,188068.5254,480010.8885,19.719,10.501,5.093,6.062,10.254,14.604,18.169,18.844,0.485,6.129,10.59,352.342,706,10.4643,1,8
9,2114,188414.0606,480015.9473,14.655,9.607,3.137,7.136,10.285,12.193,13.203,13.738,0.3265,4.638,8.639,234.462,670,9.0164,1,9
10,2450,188825.1347,480015.2255,17.151,9.5,3.675,6.844,9.731,12.266,14.374,15.433,0.3868,5.586,8.988,253.772,343,9.6543,1,10
11,1781,188638.1573,480016.014,19.652,12.959,4.584,10.385,13.843,16.624,18.162,18.546,0.3537,3.946,6.944,151.48,593,11.7573,1,11
12,1944,189001.5274,480014.4109,21.39,15.974,2.945,14.423,16.3,17.842,19.414,19.885,0.1843,3.998,6.976,152.866,755,12.717,1,12
13,1774,189012.7197,480014.313,20.895,15.109,3.733,12.66,15.896,18.074,19.308,19.799,0.2471,3.371,5.61,98.859,740,17.9447,1,13
14,1813,188447.4998,480015.9875,18.025,12.561,3.426,10.523,13.585,15.166,16.1,16.542,0.2727,4.137,7.138,160.078,707,11.3257,1,14
15,2402,188036.0632,480014.3767,22.328,14.659,4.821,11.791,15.439,18.89,20.758,21.305,0.3289,3.502,7.367,170.522,718,14.0861,1,15
16,6805,188209.9937,480012.9142,17.259,10.934,4.001,7.32,12.427,14.32,15.061,15.431,0.366,6.625,10.795,366.109,2319,18.5874,1,16
17,2264,188332.2599,480013.212,14.393,8.358,3.418,5.25,9.141,11.381,12.49,12.934,0.4089,3.969,7.726,187.536,513,12.0724,1,17
18,4022,188466.5199,480015.0368,18.031,11.291,4.28,7.603,12.488,14.966,16.042,16.453,0.379,6.158,10.662,357.137,1341,11.2618,1,18
19,2855,188390.3166,480015.0758,14.623,10.381,2.851,9.101,11.332,12.439,13.247,13.601,0.2747,4.614,8.985,253.594,1240,11.2582,1,19
20,1186,188563.6214,480016.338,18.274,13.082,3.185,11.348,13.736,15.44,16.62,17.294,0.2435,4.593,7.557,179.432,456,6.6098,1,20
21,10317,188795.6242,480010.0406,16.965,10.126,3.509,7.895,10.575,12.958,14.267,14.954,0.3465,9.738,16.232,827.695,1846,12.4647,1,21
22,4185,188662.6847,480015.0423,21.177,15.675,4.283,13.268,17.165,18.866,19.979,20.329,0.2733,7.991,13.332,558.37,2199,7.495,1,22
23,6943,188091.816,480011.5378,25.072,15.316,6.269,9.97,16.845,21.382,22.853,23.24,0.4093,5.815,11.088,386.246,2329,17.9756,1,23
24,3092,188191.5549,480012.7359,16.068,10.661,2.952,9.185,11.102,12.979,13.98,14.508,0.2769,3.899,6.906,149.816,839,20.6387,1,24
25,3224,188542.1448,480013.5251,19.111,11.441,4.018,8.396,12.518,14.607,15.753,16.69,0.3512,6.89,10.851,369.928,496,8.7152,1,25
26,834,188573.3157,480012.3816,18.316,14.535,3.036,12.55,15.623,16.762,17.579,17.89,0.2089,2.649,4.73,70.274,502,11.8678,1,26
27,1989,188867.851,480013.3745,18.282,11.581,4.068,10.31,12.567,14.257,16.498,16.88,0.3513,4.625,8.801,243.353,399,8.1733,1,27
28,2018,187984.5786,480013.8955,26.654,20.119,5.493,18.507,21.88,23.944,25.414,25.744,0.273,4.264,7.046,155.977,1107,12.9378,1,28
29,5491,188177.4902,480012.3094,16.957,10.876,2.464,9.552,11.08,12.43,13.806,14.664,0.2266,5.567,10.201,326.916,648,16.7963,1,29
30,5041,188351.959,480013.3462,14.773,9.395,3.391,7.188,9.849,12.244,13.405,13.84,0.3609,5.933,9.503,283.706,1588,17.7684,1,30
31,1013,188912.1011,480011.6858,18.267,12.174,2.911,10.818,13.071,14.201,15.344,16.185,0.2391,2.243,3.66,42.082,196,24.072,1,31
32,6114,188055.6939,480008.982,23.598,11.572,5.459,7.53,11.136,15.092,20.12,21.566,0.4718,6.728,12.07,457.705,819,13.3579,1,32
33,11926,188282.5647,480010.7407,19.558,12.722,3.85,10.796,13.602,15.549,16.876,17.519,0.3026,10.845,19.079,1143.608,2831,10.4284,1,33
34,4162,188427.821,480013.0556,15.988,10.313,3.54,7.456,11.34,13.068,14.324,14.757,0.3433,6.067,11.13,389.147,1190,10.6952,1,34
35,8704,188021.8117,480008.8799,26.346,14.269,6.043,9.182,14.553,19.449,21.88,22.903,0.4235,8.165,14.454,656.379,1330,13.2606,1,35
36,4001,188617.9796,480013.5133,18.836,13.195,4.268,10.01,14.865,16.649,17.348,17.671,0.3235,5.909,9.127,261.712,1926,15.2878,1,36
37,3231,188856.5371,480010.7527,19.515,12.18,4.088,9.87,12.512,15.95,16.971,17.658,0.3356,5.155,8.506,227.32,858,14.2135,1,37
38,1300,188926.2237,480011.964,21.233,12.932,5.266,9.01,14.309,16.715,18.662,20.177,0.4073,3.741,6.258,123.034,313,10.5662,1,38
39,3061,188605.6196,480009.5156,19.83,13.323,4.395,10.009,14.038,17.17,18.565,18.841,0.3299,4.853,9.187,265.171,1080,11.5435,1,39
40,11957,188235.263,480013.1004,19.196,12.255,3.191,10.588,12.679,14.686,15.895,16.623,0.2604,11.369,27.771,2422.812,1900,4.9352,1,40
41,1080,188720.2112,480009.7734,19.969,13.065,4.76,10.627,14.366,16.472,18.287,18.973,0.3643,3.362,5.716,102.633,325,10.5229,1,41
42,1621,188043.5683,480009.1719,18.669,11.687,3.749,10.235,12.24,14.129,16.345,16.858,0.3208,3.829,6.697,140.899,274,11.5047,1,42
43,2200,188375.9908,480010.8819,14.747,10.458,2.7,9.215,11.162,12.552,13.217,13.531,0.2582,4.939,9.053,257.451,859,8.5453,1,43
44,2011,188582.3574,480011.9203,18.737,10.593,4.566,6.432,10.58,14.622,16.785,17.383,0.431,3.845,7.723,187.369,448,10.7329,1,44
45,2048,188598.6564,480009.5466,18.946,13.555,4.253,10.724,15.107,16.907,17.949,18.293,0.3138,4.912,10.595,352.684,1013,5.8069,1,45
46,1647,188629.8144,480009.8758,20.035,12.805,4.75,8.831,13.803,16.945,18.474,19.012,0.3709,3.582,6.715,141.655,519,11.6268,1,46
47,929,188704.2804,480009.2192,18.28,12.757,5.572,6.724,15.617,16.985,17.738,17.885,0.4368,3.226,5.565,97.296,537,9.5482,1,47
48,3525,188492.2253,480014.1934,16.649,10.646,3.467,8.313,11.306,13.444,14.886,15.344,0.3256,6.51,12.729,509.056,908,6.9246,1,48
49,3165,188079.1636,480009.3003,24.043,13.851,6.508,9.082,13.543,19.826,22.921,23.376,0.4698,4.176,7.371,170.69,858,18.5424,1,49
50,15479,188251.279,480001.1308,19.875,12.586,3.942,10.098,13.725,15.489,16.823,17.442,0.3132,9.618,16.277,832.374,3142,18.5962,1,50
51,1945,188530.0239,480007.6085,16.903,11.333,4.151,9.305,12.108,14.78,15.693,16.069,0.3662,3.324,5.556,96.989,801,20.0537,1,51
52,1468,188828.562,480008.1842,14.319,8.823,2.993,6.187,8.923,11.573,12.764,13.079,0.3392,2.731,4.605,66.607,374,22.0397,1,52
53,2504,188842.954,480011.5605,17.366,8.872,3.509,6.054,8.326,11.828,13.677,14.618,0.3956,4.499,7.6,181.441,206,13.8006,1,53
54,3967,188878.7171,480009.4532,19.778,10.049,4.544,5.911,10.692,13.445,15.729,16.914,0.4522,6.519,11.203,394.306,371,10.0607,1,54
55,10010,188105.277,480005.0922,24.862,16.114,5.813,11.045,17.382,21.578,23.111,23.683,0.3608,6.702,12.405,483.47,3779,20.7045,1,55
56,2170,188480.4871,480008.7985,16.957,12.192,3.78,10.667,13.471,15.066,16.022,16.374,0.31,3.818,6.25,122.738,1058,17.6799,1,56
57,2603,188510.488,480009.863,17.313,11.878,3.232,9.658,12.458,14.575,15.494,15.888,0.2721,4.826,8.372,220.22,864,11.82,1,57
58,8492,188161.0032,480012.5891,23.137,12.939,4.342,10.445,12.446,15.733,19.175,20.726,0.3356,6.972,11.847,440.893,1159,19.2609,1,58
59,1972,188398.0241,480007.4763,15.649,10.589,2.457,9.063,10.535,12.419,13.771,14.467,0.232,4.182,7.704,186.457,468,10.5762,1,59
60,1290,188448.8473,480006.1482,15.161,9.722,3.63,7.319,10.157,13.016,14.022,14.325,0.3734,2.722,4.551,65.063,443,19.8268,1,60
61,4779,188646.7226,480002.1308,21.051,12.809,4.51,8.826,13.982,16.347,18.025,19.182,0.3521,6.342,10.812,367.228,939,13.0137,1,61
62,4609,188989.1541,480007.9174,21.542,16.092,3.805,15.088,17.167,18.488,19.365,19.965,0.2364,6.961,11.859,441.811,2241,10.4321,1,62
63,7163,188739.5544,480011.2552,18.736,13.9,3.453,12.476,14.699,16.545,17.383,17.714,0.2484,9.097,15.37,742.134,3311,9.6519,1,63
64,3341,188900.0474,480009.7295,20.581,10.758,4.165,7.675,10.459,12.988,17.049,18.554,0.3872,5.207,8.932,250.64,388,13.3299,1,64
65,5901,188007.3376,480006.4684,24.258,12.035,6.301,6.438,10.095,17.955,20.168,22.358,0.5236,7.552,12.649,502.661,1007,11.7395,1,65
66,3700,188119.0677,480006.1679,17.654,11.766,2.774,10.469,12.195,13.561,14.753,15.54,0.2358,4.371,7.662,184.438,622,20.0609,1,66
